feature,importance
numeric__MA_50,0.09906511863677116
numeric__MA_20,0.08786127428559487
numeric__MA_5,0.08465999614125469
numeric__MA_10,0.07875703187409654
numeric__Volatility_10,0.05376510927535744
numeric__Volatility_20,0.05159683761033083
numeric__MA_10_vs_50,0.04254109381723365
numeric__Month,0.04135754064550207
numeric__MA_5_vs_20,0.04034534745650417
numeric__Close_vs_MA_20,0.03534161943667573
numeric__Close_vs_MA_50,0.03286062166718355
numeric__RSI_14,0.03136004875686882
numeric__Volume,0.028446596862598716
numeric__Momentum_10d,0.02533905034070662
numeric__Volatility_5,0.023671348641520873
